PROJECT NAME : BUOYS - EIFFAGE;Day;;Time;Duration;;;;;;;;;
DEVICE NAME : VAGUE;AM;;: VAG;;;;;;;;;;
MEASUREMENT LOCATION :COU;EN;;LOCAT;#VALEUR!;;;;;;;;;
TIMEREF : 30 minutes;: ;;;;;;;;;;;;
TIMESTAMP : UTC time, acquisition start;;;;;;;;;;;;;
DIRECTION : FROM;;;;;;;;;;;;;
NORTH : Magnetique 0,00;;;;;;;;;;;;;
UTC datetime;Date;Month;Time;Duration;Hm0(m);Current;Current criteria;Wave criteria;Work criteria;Working time;Working time;Stby duration;
2022-04-01, 00:07;01;04;00:07;;2,53;0,537;0;1;NO;0;1;0:07;
2022-04-01, 00:37;01;04;00:37;0:30;2,39;0,576;0;1;NO;0;1;0:30;
2022-04-01, 01:08;01;04;01:08;0:31;2,73;0,56;0;1;NO;0;1;0:31;
2022-04-01, 01:38;01;04;01:38;0:30;2,46;0,547;0;1;NO;0;1;0:30;
2022-04-01, 02:08;01;04;02:08;0:30;2,12;0,603;0;1;NO;0;1;0:30;
2022-04-01, 02:38;01;04;02:38;0:30;2,04;0,577;0;1;NO;0;1;0:30;
2022-04-01, 03:08;01;04;03:08;0:30;1,8;0,492;0;1;NO;0;1;0:30;
2022-04-01, 03:38;01;04;03:38;0:30;1,65;0,485;0;1;NO;0;1;0:30;
2022-04-01, 04:08;01;04;04:08;0:30;1,67;0,503;0;1;NO;0;1;0:30;
2022-04-01, 04:38;01;04;04:38;0:30;1,47;0,421;0;1;NO;0;1;0:30;
2022-04-01, 05:08;01;04;05:08;0:30;1,57;0,4;0;1;NO;0;1;0:30;
2022-04-01, 05:38;01;04;05:38;0:30;1,87;0,483;0;1;NO;0;1;0:30;
2022-04-01, 06:09;01;04;06:09;0:31;2,11;0,448;0;1;NO;1;1;0:31;
2022-04-01, 06:39;01;04;06:39;0:30;2,65;0,309;0;1;NO;1;1;0:30;
2022-04-01, 07:09;01;04;07:09;0:30;2,76;0,337;0;1;NO;1;1;0:30;
2022-04-01, 07:39;01;04;07:39;0:30;2,79;0,386;0;1;NO;1;1;0:30;
2022-04-01, 08:09;01;04;08:09;0:30;2,93;0,265;0;1;NO;1;1;0:30;
2022-04-01, 08:39;01;04;08:39;0:30;3,04;0,3;0;1;NO;1;1;0:30;
2022-04-01, 09:09;01;04;09:09;0:30;2,79;0,244;0;1;NO;1;1;0:30;
2022-04-01, 09:39;01;04;09:39;0:30;3,14;0,291;0;1;NO;1;1;0:30;
2022-04-01, 10:09;01;04;10:09;0:30;2,84;0,408;0;1;NO;1;1;0:30;
2022-04-01, 10:39;01;04;10:39;0:30;3,01;0,185;0;1;NO;1;1;0:30;
2022-04-01, 11:10;01;04;11:10;0:31;2,96;0,204;0;1;NO;1;1;0:31;
2022-04-01, 11:40;01;04;11:40;0:30;2,93;0,45;0;1;NO;1;1;0:30;
2022-04-01, 12:10;01;04;12:10;0:30;2,71;0,57;0;1;NO;1;1;0:30;
2022-04-01, 12:40;01;04;12:40;0:30;2,87;0,264;0;1;NO;1;1;0:30;
2022-04-01, 13:10;01;04;13:10;0:30;2,76;0,226;0;1;NO;1;1;0:30;
2022-04-01, 13:40;01;04;13:40;0:30;2,17;0,38;0;1;NO;1;1;0:30;
2022-04-01, 14:10;01;04;14:10;0:30;2,02;0,213;0;1;NO;1;1;0:30;
2022-04-01, 14:40;01;04;14:40;0:30;1,8;0,405;0;1;NO;1;1;0:30;
2022-04-01, 15:10;01;04;15:10;0:30;1,5;0,385;0;1;NO;1;1;0:30;
2022-04-01, 15:40;01;04;15:40;0:30;1,24;0,269;0;1;NO;1;1;0:30;
2022-04-01, 16:11;01;04;16:11;0:31;1,15;0,331;0;1;NO;1;1;0:31;
2022-04-01, 16:41;01;04;16:41;0:30;1,12;0,415;0;1;NO;1;1;0:30;
2022-04-01, 17:11;01;04;17:11;0:30;1,2;0,393;0;1;NO;1;1;0:30;
2022-04-01, 17:41;01;04;17:41;0:30;1,25;0,51;0;1;NO;1;1;0:30;
2022-04-01, 18:11;01;04;18:11;0:30;1,72;0,459;0;1;NO;1;1;0:30;
2022-04-01, 18:41;01;04;18:41;0:30;1,94;0,566;0;1;NO;1;1;0:30;
2022-04-01, 19:11;01;04;19:11;0:30;2,2;0,503;0;1;NO;1;1;0:30;
2022-04-01, 19:41;01;04;19:41;0:30;2,11;0,589;0;1;NO;1;1;0:30;
2022-04-01, 20:11;01;04;20:11;0:30;2,14;0,688;0;1;NO;1;1;0:30;
2022-04-01, 20:41;01;04;20:41;0:30;2,22;0,73;0;1;NO;1;1;0:30;
2022-04-01, 21:12;01;04;21:12;0:31;2,11;0,712;0;1;NO;1;1;0:31;
2022-04-01, 21:42;01;04;21:42;0:30;2,22;0,766;0;1;NO;1;1;0:30;
2022-04-01, 22:12;01;04;22:12;0:30;2,24;0,668;0;1;NO;1;1;0:30;
2022-04-01, 22:42;01;04;22:42;0:30;2,14;0,678;0;1;NO;1;0;0:30;
2022-04-01, 23:12;01;04;23:12;0:30;2,01;0,61;0;1;NO;1;0;0:30;
2022-04-01, 23:42;01;04;23:42;0:30;1,97;0,629;0;1;NO;1;0;0:30;
2022-04-02, 00:02;02;04;00:02;0:20;1,94;0,461;0;1;NO;0;1;0:20;
2022-04-02, 00:32;02;04;00:32;0:30;2,14;0,443;0;1;NO;0;1;0:30;
2022-04-02, 01:02;02;04;01:02;0:30;1,95;0,375;0;1;NO;0;1;0:30;
2022-04-02, 01:32;02;04;01:32;0:30;1,91;0,335;0;1;NO;0;1;0:30;
2022-04-02, 02:02;02;04;02:02;0:30;1,83;0,243;0;1;NO;0;1;0:30;
2022-04-02, 02:32;02;04;02:32;0:30;1,59;0,262;0;1;NO;0;1;0:30;
2022-04-02, 03:02;02;04;03:02;0:30;1,61;0,192;0;1;NO;0;1;0:30;
2022-04-02, 03:32;02;04;03:32;0:30;1,49;0,197;0;1;NO;0;1;0:30;
2022-04-02, 04:03;02;04;04:03;0:31;1,28;0,222;0;1;NO;0;1;0:31;
2022-04-02, 04:33;02;04;04:33;0:30;1,14;0,142;0;1;NO;0;1;0:30;
2022-04-02, 05:03;02;04;05:03;0:30;0,98;0,207;0;0;YES;0;1;0:30;
2022-04-02, 05:33;02;04;05:33;0:30;1,01;0,185;0;1;NO;0;1;0:30;
2022-04-02, 06:03;02;04;06:03;0:30;1,14;0,103;0;1;NO;1;1;0:30;
2022-04-02, 06:33;02;04;06:33;0:30;1,23;0,122;0;1;NO;1;1;0:30;
2022-04-02, 07:03;02;04;07:03;0:30;1,15;0,18;0;1;NO;1;1;0:30;
2022-04-02, 07:33;02;04;07:33;0:30;1,2;0,232;0;1;NO;1;1;0:30;
2022-04-02, 08:03;02;04;08:03;0:30;1,31;0,34;0;1;NO;1;1;0:30;
2022-04-02, 08:33;02;04;08:33;0:30;1,26;0,378;0;1;NO;1;1;0:30;
2022-04-02, 09:04;02;04;09:04;0:31;1,28;0,436;0;1;NO;1;1;0:31;
2022-04-02, 09:34;02;04;09:34;0:30;1,21;0,461;0;1;NO;1;1;0:30;
2022-04-02, 10:04;02;04;10:04;0:30;1,11;0,486;0;1;NO;1;1;0:30;
2022-04-02, 10:34;02;04;10:34;0:30;1,13;0,485;0;1;NO;1;1;0:30;
2022-04-02, 11:04;02;04;11:04;0:30;1,01;0,581;0;1;NO;1;1;0:30;
2022-04-02, 11:34;02;04;11:34;0:30;0,97;0,612;0;0;YES;1;1;0:30;
2022-04-02, 12:04;02;04;12:04;0:30;0,94;0,595;0;0;YES;1;1;0:30;
2022-04-02, 12:34;02;04;12:34;0:30;0,96;0,643;0;0;YES;1;1;0:30;
2022-04-02, 13:04;02;04;13:04;0:30;1,02;0,655;0;1;NO;1;1;0:30;
2022-04-02, 13:34;02;04;13:34;0:30;1,01;0,678;0;1;NO;1;1;0:30;
2022-04-02, 14:05;02;04;14:05;0:31;1,01;0,649;0;1;NO;1;1;0:31;
2022-04-02, 14:35;02;04;14:35;0:30;0,91;0,632;0;0;YES;1;1;0:00;
2022-04-02, 15:05;02;04;15:05;0:30;0,92;0,606;0;0;YES;1;1;0:00;
2022-04-02, 15:35;02;04;15:35;0:30;0,85;0,709;0;0;YES;1;1;0:00;
2022-04-02, 16:05;02;04;16:05;0:30;0,92;0,699;0;0;YES;1;1;0:00;
2022-04-02, 16:35;02;04;16:35;0:30;0,83;0,611;0;0;YES;1;1;0:00;
2022-04-02, 17:05;02;04;17:05;0:30;0,83;0,607;0;0;YES;1;1;0:00;
2022-04-02, 17:35;02;04;17:35;0:30;0,77;0,585;0;0;YES;1;1;0:00;
2022-04-02, 18:05;02;04;18:05;0:30;0,72;0,56;0;0;YES;1;1;0:00;
2022-04-02, 18:35;02;04;18:35;0:30;0,8;0,498;0;0;YES;1;1;0:00;
2022-04-02, 19:06;02;04;19:06;0:31;0,83;0,527;0;0;YES;1;1;0:00;
2022-04-02, 19:36;02;04;19:36;0:30;0,91;0,442;0;0;YES;1;1;0:00;
2022-04-02, 20:06;02;04;20:06;0:30;0,96;0,548;0;0;YES;1;1;0:00;
2022-04-02, 20:36;02;04;20:36;0:30;1,04;0,435;0;1;NO;1;1;0:30;
2022-04-02, 21:06;02;04;21:06;0:30;0,99;0,433;0;0;YES;1;1;0:00;
2022-04-02, 21:36;02;04;21:36;0:30;0,95;0,341;0;0;YES;1;1;0:00;
2022-04-02, 22:06;02;04;22:06;0:30;0,89;0,422;0;0;YES;1;1;0:00;
2022-04-02, 22:36;02;04;22:36;0:30;0,9;0,38;0;0;YES;1;0;0:00;
2022-04-02, 23:06;02;04;23:06;0:30;0,95;0,428;0;0;YES;1;0;0:00;
